categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Dried_Fruits,PRUN0001,PRUN0001.jpg,Dried  GOLDEN Yellow Prunes 22lb,,22,143.00,$6.50,
Dried_Fruits,PRUN0002,PRUN0001.jpg,Dried  GOLDEN Yellow Prunes 28lb,,28,154.00,$5.50,
Dried_Fruits,CRAN0001,CRAN0001.jpg,Dried Cranberries 25 lb,25 lb,25,52.50,$2.10,
Dried_Fruits,PRUN02,,Dried Red Prunes 25 lb-(Angelina),,25,115.00,$4.60,
Dried_Fruits,GIN02,,Ginger Crystalized 44 LB,44 lb,44,118.80,$2.70,
Dried_Fruits,RAI01,RAI01.jpg,Golden Jumbo Raisin 30lb,,30,75.00,$2.50,
Dried_Fruits,Prun00011,PRUN0001.jpg,Golden Plums 30/8oz,,30,120.00,$4.00,
Dried_Fruits,RAI02,RAI01.jpg,Golden Raisin 30lb - (South African),,30,67.50,$2.25,
Dried_Fruits,RAI11,RAI11.jpeg,Green Iranian Raisin 22 LB,,22,121.00,$5.50,
Dried_Fruits,RAI12,RAI11.jpeg,Green Raisin 27.5 lb,,27.5,110.00,$4.00,
Dried_Fruits,APR0011,APRICOT.jpg,Imported Apricot Unpitted 28lb,28 lb,28,172.50,$6.16,
Dried_Fruits,APR00,APRICOT.jpg,Imported Dried Apricot Unpitted 22.05 lb,0.5 lb,22.05,150.00,$6.80,
Dried_Fruits,APR001,APRICOT.jpg,Imported Dried Apricot Unpitted 25lb,25 lb ,25,165.00,$6.60,
Dried_Fruits,APR02,APRICOT.jpg,Imported Dry Apricot Unpitted / 22.05lb,0.5 lb,22.05,144.00,$6.53,
Dried_Fruits,apr00111,APRICOT.jpg,Impoted Apricots with Pit 30/8 oz,8 lb,30,120.00,$4.00,
Dried_Fruits,FIGS01,,Iranian Shirazi Figs 22 lb,22 lb,22,165.00,$7.50,
Dried_Fruits,PEAR01,,Jumbo California Pears 25lb,,25,77.50,$3.10,
Dried_Fruits,PRUNES0,PRUN0001.jpg,Jumbo Pitted Prunes 10-20  / 22.05lb,,22.05,77.00,$3.49,
Dried_Fruits,PRUNES04,PRUN0001.jpg,Jumbo Prunes Unpitted 22.05lb,,22.05,77.00,$3.49,
Dried_Fruits,KIW011,KIW011.jpg,Kiwi Dried 44lb,,44,132.00,$3.00,
Dried_Fruits,DATE011,DATE011.jpg,Lior Medjool Dates 16/400 gr,400 grm,16,79.20,$4.95,
Dried_Fruits,DATE02,DATE011.jpg,Lior Medjul Premi Dates 12/2 lb,2 lb,12,165.60,$13.80,
Dried_Fruits,MANG00,MANG00.jpg,Mango Slices 44lb,,44,116.60,$2.65,
Dried_Fruits,DATE00041,DATE00041.jpg,Medjo Classic Dates Large 11lb,11 lb,11,40.00,$3.64,
Dried_Fruits,DATE01,DATE00041.jpg,Medjool Dates Jumbo Red Box 11 lb,11 lb,11,54.00,$4.91,
Dried_Fruits,APR0012,APR0012.jpg,ORGANIC Turkish Apricots  /28lb,28 lb,28,133.00,$4.75,
Dried_Fruits,PAP01,PAP01.jpg,Papaya Spears 44lb,,44,80.00,$1.82,
Dried_Fruits,PAP010,PAP01.jpg,Papaya Spears Natural - No Sugar 44lb,,44,185.00,$4.20,
Dried_Fruits,PINE01,PAP01.jpg,Pineapple Rings 44lbs,,44,115.00,$2.61,
Dried_Fruits,PINE010,PAP01.jpg,Pineapple Rings Natural - No Sugar 44lbs,,44,245.00,$5.57,
Dried_Fruits,PINE00,PAP01.jpg,Pineapple Tidbits Thailand 44lb,,44,110.00,$2.50,
Dried_Fruits,PRUNES0101,PRUN0001.jpg,Pitted Prunes 30/40 22lb,,22,62.70,$2.85,
Dried_Fruits,PRUNES010,PRUN0001.jpg,Pitted Prunes 40/50  22lb,,22,64.90,$2.95,
Dried_Fruits,RAI03,RAI01.jpg,South African Golden Raisin 30lb,,30,67.50,$2.25,
Dried_Fruits,APR01,APR01.jpg,Turkish Apricot #1 /28Lbs,28 lb,28,119.00,$4.25,
Dried_Fruits,APR011,APRICOT.jpg,Turkish Apricot #2 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,APRICOT0,APRICOT.jpg,Turkish Apricot #3 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,APRICOT,APRICOT.jpg,Turkish Apricot #4 /28lb,28 lb,28,98.00,$3.50,
Dried_Fruits,FIG01,,Turkish Figs (Sun dry) 48/8 oz,8 oz,48,46.50,$0.97,
Dried_Fruits,FIGS,,Turkish Natural Figs 22 lb,22 lb,22,70.00,$3.18,
Dried_Fruits,ZER02,,Zereshk Barbari 8.8lbs,,,125.00,#DIV/0!,
Honey,HONE0070,HONE0070.jpg,Gunter's Acacia Honey 12/16 oz,16 oz,12,51.00,$4.25,
Honey,HONE0071,HONE0071.jpg,Gunter's Acacia Honey 12/32 oz,32 oz,12,100.00,$8.33,
Honey,HONE0060,HONE0060.jpg,Gunter's Alfalfa Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0061,HONE0061.jpg,Gunter's Alfalfa Honey 12/32 oz,32 oz,12,76.00,$6.33,
Honey,HONE0076,HONE0076.jpg,Gunter's Avocado Honey 12/16oz,16 oz,12,45.00,$3.75,
Honey,HONE0074,HONE0074.jpg,Gunter's Blueberry Honey 12/16oz,16 oz,12,42.00,$3.50,
Honey,HONE0034,HONE0034.jpg,Gunter's Buckwheat Honey 12/16 oz,16 oz,12,45.00,$3.75,
Honey,HONE0035,HONE0035.jpg,Gunter's Buckwheat Honey 12/32 oz,32 oz,12,76.00,$6.33,
Honey,HONE0038,HONE0038.jpg,Gunter's Buckwheat Honey 6/5 lb,5 lb,6,85.00,$14.17,
Honey,HONE0033,HONE0033.jpg,Gunter's Clover Honey 12/16 oz,16 oz,12,44.00,$3.67,
Honey,HONE0036,HONE0036.jpg,Gunter's Clover Honey 12/32 oz,32 oz,12,74.00,$6.17,
Honey,HONE0040,HONE0040.jpg,Gunter's Clover Honey 12/44 oz,44 oz,12,108.00,$9.00,
Honey,HONE00321,HONE00321.jpg,Gunter's Clover Honey 24/8oz,8 oz,24,48.00,$2.00,
Honey,HONE0037,HONE0037.jpg,Gunter's Clover Honey 6/5 lb,5 lb,6,85.00,$14.17,
